tab_file_name,column_count,row_count_tab,compress_duration_seconds,minio_upload_duration_seconds,clickhouse_load_duration_seconds,tab_zst_size_bytes,original_size_bytes,status
synthetic_10k_100000.tab,10002,100000,422.11421823501587,3.915775775909424,38.19255232810974,736600313,2864806013,done
synthetic_10k_1000.tab,10002,1000,4.658601760864258,0.09976482391357422,2.016033411026001,7426052,28701380,done
synthetic_10k_50000.tab,10002,50000,216.63016867637634,2.6395046710968018,24.618698120117188,369598964,1432418039,done
synthetic_10k_5000.tab,10002,5000,21.128037929534912,0.20894074440002441,3.5875208377838135,36861312,143286375,done
synthetic_20k_100000.tab,20002,100000,859.0658950805664,7.002691984176636,66.46907591819763,1469166147,5727499047,done
synthetic_20k_1000.tab,20002,1000,8.954072713851929,0.11782526969909668,3.55108380317688,14789591,57387210,done
synthetic_20k_50000.tab,20002,50000,428.5106770992279,3.5457139015197754,35.05919790267944,734917191,2863809547,done
synthetic_20k_5000.tab,20002,5000,43.20053577423096,0.3920257091522217,6.854140996932983,73508491,286479324,done
synthetic_30k_100000.tab,30002,100000,1139.816973209381,14.928882122039795,108.56466579437256,2193194281,8590237022,done
synthetic_30k_1000.tab,30002,1000,13.592814683914185,0.15742087364196777,6.578361511230469,22007042,86078306,done
synthetic_30k_50000.tab,30002,50000,632.453232049942,5.657941102981567,59.09654140472412,1096979910,4295199400,done
synthetic_30k_5000.tab,30002,5000,61.28967332839966,0.5687954425811768,12.089713096618652,109795366,429676883,done
synthetic_40k_100000.tab,40002,100000,934.1393685340881,10.424033880233765,242.40755939483643,2907619137,11452936018,done
synthetic_40k_1000.tab,40002,1000,16.876624584197998,0.22582030296325684,10.853168487548828,29171222,114774045,done
synthetic_40k_50000.tab,40002,50000,746.5038666725159,7.3056724071502686,99.89227199554443,1453036688,5726601488,done
synthetic_40k_5000.tab,40002,5000,79.762699842453,0.646655797958374,18.69321346282959,145505560,572873616,done
synthetic_50k_100000.tab,50002,100000,838.2,33.63,513.2,3566206976,14315669424,error
synthetic_50k_1000.tab,50002,1000,18.739814281463623,0.24095439910888672,19.055939435958862,35799735,143468780,done
synthetic_50k_50000.tab,50002,50000,611.6181693077087,7.76803731918335,185.60133981704712,1783035630,7157979924,done
synthetic_50k_5000.tab,50002,5000,78.70335030555725,0.8608160018920898,32.8843035697937,178346801,716075346,done
